"Client";"BLUEBOOK";"RETAINED";"NPOLICY";"CLM_AMT";"AGE";"YOJ";"GENDER";"MARRIED";"MAX_EDUC"
"298";14320;4;2;0;54;12;"M";"No";"PhD"
"299";5800;1;3;0;43;12;"M";"No";"Bachelors"
"300";17160;1;3;4340;43;12;"M";"No";"Bachelors"
"301";23470;4;2;6880;62;12;"F";"Yes";"Bachelors"
"302";7700;6;2;0;62;12;"F";"Yes";"Bachelors"
"303";19620;14;1;1618,75800869129;40;9;"F";"Yes";"Bachelors"
"304";18780;10;1;0;53;11;"F";"No";"Masters"
"305";25760;10;2;4704;39;10;"M";"No";"Bachelors"
"306";20170;10;1;4257;42;15;"F";"Yes";"High School"
"307";11920;6;3;0;48;12;"F";"Yes";"High School"
"308";21590;1;3;0;49;12;"F";"Yes";"<High School"
"309";11030;1;3;0;49;12;"F";"Yes";"<High School"
"310";8200;8;1;2489;47;11;"M";"No";"<High School"
"311";24630;7;1;3373;24;10;"M";"Yes";"High School"
"312";10810;1;1;1030;45;NA;"F";"No";"High School"
"313";23860;7;1;0;51;15;"M";"Yes";"High School"
"314";8480;4;2;0;39;11;"M";"No";"Bachelors"
"315";10360;1;1;0;40;12;"M";"No";"High School"
"316";17990;10;1;0;36;11;"M";"Yes";"High School"
"317";6420;1;1;0;25;9;"M";"Yes";"Bachelors"
"318";12630;4;2;0;53;12;"M";"No";"Masters"
"319";23710;10;2;11802,3272153402;53;12;"M";"No";"Masters"
"320";23330;1;2;5423;35;9;"M";"No";"Masters"
"321";6500;10;1;0;39;NA;"F";"No";"<High School"
"322";30610;6;1;0;40;11;"M";"Yes";"PhD"
"323";7200;4;2;3769;45;12;"M";"Yes";"<High School"
"324";15880;8;2;0;37;10;"F";"Yes";"PhD"
"325";12770;7;1;0;41;8;"F";"Yes";"<High School"
"326";19450;4;1;0;50;12;"F";"Yes";"Masters"
"327";8170;1;2;0;33;11;"M";"Yes";"<High School"
"328";26890;1;1;0;55;0;"F";"Yes";"High School"
"329";3790;3;2;3854;19;5;"F";"Yes";"High School"
"330";3790;10;2;4386,15264609467;19;5;"F";"Yes";"High School"
"331";14540;1;3;0;41;NA;"F";"No";"High School"
"332";12040;17;2;0;51;11;"M";"Yes";"PhD"
"333";4700;10;2;5732;32;12;"F";"No";"Bachelors"
"334";28470;4;3;0;46;10;"M";"No";"High School"
"335";5600;12;2;0;41;11;"F";"Yes";"High School"
"336";14080;7;2;0;41;11;"F";"Yes";"High School"
"337";14340;10;2;3207;40;14;"F";"No";"High School"
"338";1500;6;2;3421;40;14;"F";"No";"High School"
"339";15860;17;2;0;35;9;"F";"Yes";"Masters"
"340";7020;10;1;0;41;15;"M";"Yes";"High School"
"341";35600;6;1;0;51;14;"F";"Yes";"PhD"
"342";4380;6;1;6188;23;6;"F";"No";"Masters"
"343";1500;3;1;2651;26;8;"F";"No";"Bachelors"
"344";19580;1;3;3952;45;15;"M";"Yes";"Masters"
"345";5180;8;3;0;47;9;"F";"Yes";"Masters"
"346";18780;13;3;0;41;13;"M";"Yes";"Masters"
"347";17310;16;3;0;41;13;"M";"Yes";"Masters"
"348";11160;6;1;0;47;11;"F";"Yes";"High School"
"349";14130;10;1;0;44;12;"F";"Yes";"Masters"
"350";15630;4;3;0;34;14;"F";"Yes";"Bachelors"
"351";20450;6;3;0;35;6;"F";"No";"Bachelors"
"352";13180;14;3;0;37;5;"F";"No";"<High School"
"353";20460;6;3;0;37;5;"F";"No";"<High School"
"354";12360;5;1;0;46;13;"M";"Yes";"Bachelors"
"355";19800;4;2;0;44;14;"F";"Yes";"Masters"
"356";17040;9;2;0;48;14;"F";"Yes";"Masters"
"357";14160;1;1;0;56;14;"F";"Yes";"Bachelors"
"358";11180;7;1;0;32;7;"F";"No";"Bachelors"
"359";24560;7;1;4085;28;9;"F";"No";"High School"
"360";12720;1;1;0;52;14;"F";"Yes";"Bachelors"
"361";3260;1;3;3677;27;9;"M";"No";"High School"
"362";11420;6;1;0;32;12;"F";"No";"Bachelors"
"363";16010;9;2;0;51;15;"F";"Yes";"High School"
"364";20340;1;2;0;52;15;"F";"Yes";"High School"
"365";28350;7;2;0;51;6;"M";"Yes";"Masters"
"366";10130;8;1;0;49;11;"F";"No";"High School"
"367";41570;3;3;2297;38;8;"F";"Yes";"High School"
"368";10550;18;3;0;41;0;"F";"Yes";"Masters"
"369";8870;1;3;0;41;0;"F";"Yes";"Masters"
"370";18080;4;1;2936;55;12;"M";"Yes";"Masters"
"371";32440;18;1;0;63;15;"F";"Yes";"High School"
"372";11810;10;2;0;32;12;"M";"No";"Bachelors"
"373";14880;6;1;0;45;11;"F";"No";"Masters"
"374";19450;4;1;1058;53;NA;"F";"No";"Masters"
"375";8930;6;1;0;53;9;"M";"Yes";"High School"
"376";7400;9;1;0;59;12;"M";"No";"Masters"
"377";19120;1;1;0;49;0;"M";"Yes";"High School"
"378";29170;1;2;0;39;7;"F";"Yes";"Bachelors"
"379";15550;11;2;0;39;7;"F";"Yes";"Bachelors"
"380";17200;4;2;0;40;10;"F";"Yes";"<High School"
"381";24580;4;1;0;38;10;"F";"No";"High School"
"382";6960;13;2;0;52;12;"M";"No";"<High School"
"383";11910;1;1;0;33;7;"M";"Yes";"Bachelors"
"384";8590;6;2;3048;61;10;"F";"No";"PhD"
"385";7100;1;1;675,77987634643;56;14;"M";"Yes";"High School"
"386";5450;10;3;0;56;4;"M";"Yes";"High School"
"387";8900;10;5;0;31;12;"F";"Yes";"High School"
"388";8900;6;5;4729;33;12;"F";"Yes";"High School"
"389";8900;4;5;0;33;12;"F";"Yes";"High School"
"390";20280;3;5;0;33;12;"F";"Yes";"High School"
"391";20210;4;1;10215,0722529181;41;13;"F";"Yes";"High School"
"392";13780;1;2;0;40;7;"M";"No";"High School"
"393";18270;6;2;19013,3980331706;41;7;"M";"No";"Bachelors"
"394";14940;1;1;0;43;11;"M";"No";"High School"
"395";15040;4;2;6220;54;14;"F";"No";"Masters"
"396";9720;1;2;4322;38;12;"M";"No";"High School"
"397";11500;1;1;0;44;13;"F";"No";"Masters"
"398";8850;1;1;6606;49;12;"M";"Yes";"<High School"
"399";22300;10;1;0;60;5;"F";"Yes";"Masters"
"400";27950;1;2;0;56;13;"M";"Yes";"Bachelors"
"401";17550;1;2;0;60;13;"M";"Yes";"Bachelors"
"402";24280;6;1;0;53;13;"M";"Yes";"PhD"
"403";8280;6;2;0;37;10;"F";"Yes";"High School"
"404";10680;4;1;0;41;11;"F";"No";"High School"
"405";33030;6;1;0;50;NA;"M";"Yes";"Bachelors"
"406";37310;1;1;1062;48;11;"F";"No";"High School"
"407";20040;1;1;1497;57;11;"M";"Yes";"PhD"
"408";15020;10;2;0;50;10;"F";"Yes";"Bachelors"
"409";14790;4;2;0;50;10;"F";"Yes";"Bachelors"
"410";5300;4;4;0;36;12;"F";"Yes";"Bachelors"
"411";13800;6;4;0;40;12;"F";"Yes";"Bachelors"
"412";8410;6;1;0;45;15;"F";"Yes";"Bachelors"
"413";17270;1;1;0;48;15;"F";"Yes";"High School"
"414";8550;1;1;0;32;10;"F";"No";"Bachelors"
"415";14840;1;4;6836;42;0;"F";"Yes";"High School"
"416";11190;4;4;1463;43;0;"F";"Yes";"High School"
"417";7650;4;3;0;57;NA;"F";"Yes";"PhD"
"418";7200;10;3;0;57;NA;"F";"Yes";"PhD"
"419";17530;1;2;0;52;14;"M";"Yes";"PhD"
"420";13000;1;1;0;48;15;"M";"No";"Bachelors"
"421";20640;1;2;0;42;12;"F";"Yes";"Masters"
"422";10560;6;2;2907,27364151767;60;15;"F";"Yes";"PhD"
"423";16620;11;2;0;62;15;"F";"Yes";"PhD"
"424";8450;6;1;1833;39;12;"M";"No";"<High School"
"425";9760;11;1;0;38;8;"F";"Yes";"Bachelors"
"426";13280;10;1;0;34;10;"F";"Yes";"PhD"
"427";9430;13;1;0;46;10;"F";"Yes";"High School"
"428";5330;1;1;0;32;12;"F";"Yes";"Bachelors"
"429";5700;6;1;0;42;4;"M";"Yes";"Masters"
"430";26750;6;2;0;50;12;"F";"Yes";"Bachelors"
"431";27310;7;1;0;51;15;"M";"Yes";"PhD"
"432";19710;6;3;0;48;NA;"F";"No";"Masters"
"433";45130;7;3;0;48;NA;"F";"No";"Masters"
"434";27820;1;1;0;41;12;"M";"Yes";"High School"
"435";1500;4;2;0;26;0;"F";"No";"<High School"
"436";16810;1;1;5428;30;0;"M";"Yes";"High School"
"437";10550;6;2;0;42;10;"F";"No";"<High School"
"438";17600;4;3;4011;45;10;"M";"Yes";"Bachelors"
"439";6100;17;3;6611;46;0;"F";"No";"Bachelors"
"440";7270;4;3;4572,73465764652;46;0;"F";"No";"Bachelors"
"441";7860;4;1;0;36;11;"F";"No";"High School"
"442";9650;1;1;0;36;10;"F";"No";"Bachelors"
"443";6400;4;2;0;48;7;"M";"No";"Bachelors"
"444";11900;6;2;0;49;7;"M";"No";"<High School"
"445";4100;7;1;3851;26;15;"M";"Yes";"Masters"
"446";16080;6;3;0;33;0;"F";"Yes";"<High School"
"447";10260;4;2;0;31;13;"F";"Yes";"High School"
"448";19680;10;1;0;32;14;"M";"Yes";"High School"
"449";9070;6;2;0;47;7;"M";"No";"High School"
"450";10990;1;2;0;47;7;"M";"No";"High School"
"451";6500;4;4;0;44;9;"M";"Yes";"Bachelors"
"452";14750;6;4;0;45;0;"M";"Yes";"High School"
"453";25160;14;1;0;43;12;"M";"Yes";"High School"
"454";14950;10;1;0;45;NA;"M";"Yes";"Bachelors"
"455";7100;4;2;6098;39;6;"F";"Yes";"Bachelors"
"456";23370;1;2;0;39;6;"F";"Yes";"Bachelors"
"457";9860;9;1;0;51;13;"M";"Yes";"Bachelors"
"458";14340;4;2;4929;51;6;"F";"No";"Bachelors"
"459";6550;1;1;0;49;14;"F";"Yes";"Bachelors"
"460";9490;1;1;0;50;0;"F";"No";"<High School"
